record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1624924784,23.7,1606890.0000000005,97771.09999999999,556191.9,62.200000000000024,75.59999999999998
1,1624924785,11.6,1606890.0000000005,97771.09999999999,556220.5000000001,26.800000000000004,48.29999999999999
2,1624924786,27.00000000000001,1606890.0000000005,97771.09999999999,556239.7000000001,857.3,839.9999999999998
3,1624924787,22.900000000000002,1606890.0000000005,97771.09999999999,556319.0,71.69999999999996,121.40000000000002
4,1624924788,39.80000000000001,1606890.0000000005,97771.09999999999,556403.2,25.700000000000006,43.8
5,1624924789,25.700000000000014,1606890.0000000005,97771.09999999999,556458.2999999999,20.40000000000001,13.299999999999997
6,1624924790,48.9,1606890.0000000005,97771.29999999997,556873.0999999999,525.6,499.5
7,1624924791,136.59999999999997,1606890.0000000005,97771.49999999999,557791.4,601.5,552.8
8,1624924792,207.69999999999996,1606890.0000000005,97771.6,559225.9999999999,63.09999999999999,118.30000000000001
9,1624924793,162.7,1606890.0000000005,97771.6,559847.9,140.3,138.9
10,1624924794,47.8,1606890.0000000005,97771.89999999998,559992.3,90774.70000000001,110976.29999999997
11,1624924795,24.200000000000003,1606890.0000000005,97772.19999999998,560150.0000000001,22882.799999999992,2382.0
12,1624924796,54.00000000000001,1606890.0000000005,97773.19999999998,560269.9,499.2,300.20000000000005
13,1624924797,35.600000000000016,1606890.0000000005,97773.29999999997,560354.5,190.10000000000014,344.3999999999999
14,1624924798,32.7,1606890.0000000005,97773.39999999997,560418.7,162.6000000000001,66.49999999999999
15,1624924799,37.20000000000001,1606890.0000000005,97773.49999999997,560596.3,123.3,99.79999999999998
16,1624924800,45.0,1606890.0000000005,97773.59999999998,560675.3,29194.000000000004,37775.4
17,1624924801,20.299999999999997,1606890.0000000005,97773.69999999998,560795.2000000001,85048.3,76587.09999999999
18,1624924802,10.699999999999996,1606890.0000000005,97774.09999999998,560947.5,44.199999999999996,56.20000000000001
19,1624924803,43.800000000000004,1606890.0000000005,97774.89999999998,561025.5,30.3,63.1
