timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive
1628099574,8.2,64275.6,5874.9,53180.2
1628099575,7.9,64275.6,5874.9,53180.2
1628099576,7.3,64275.6,5874.9,53204.9
1628099577,7.2,64275.6,5874.9,53205.1
1628099578,9.3,64275.6,5874.9,53205.0
1628099580,6.8,64275.6,5874.9,53179.2
1628099581,8.7,64275.6,5874.9,53179.2
1628099582,8.1,64275.6,5874.9,53179.3
1628099583,7.6,64275.6,5874.9,53178.8
1628099584,7.9,64275.6,5874.9,53184.1
1628099585,8.2,64275.6,5874.9,53179.4
1628099586,8.3,64275.6,5874.9,53187.1
1628099587,10.4,64275.6,5875.0,53213.0
1628099588,7.7,64275.6,5875.0,53197.6
1628099589,6.9,64275.6,5875.0,53196.9
1628099590,6.9,64275.6,5875.0,53196.9
1628099591,8.6,64275.6,5875.0,53196.9
1628099592,7.6,64275.6,5875.0,53197.0
1628099593,8.6,64275.6,5875.0,53197.1
1628099594,8.3,64275.6,5875.0,53204.5
1628099595,8.4,64275.6,5875.0,53206.2
1628099596,9.1,64275.6,5875.0,53205.8
1628099597,15.6,64275.6,5875.2,53230.4
1628099598,19.7,64275.6,5877.4,53274.8
1628099599,20.8,64275.6,5877.6,53311.8
1628099600,19.3,64275.6,5878.2,53364.9
1628099601,19.3,64275.6,5880.2,53382.0
1628099602,19.0,64275.6,5880.2,53384.0
1628099603,20.6,64275.6,5880.5,53387.3
1628099604,20.8,64275.6,5880.5,53407.4
1628099605,20.7,64275.6,5880.6,53392.3
1628099606,19.5,64275.6,5880.6,53408.1
1628099607,19.9,64275.6,5880.8,53408.3
1628099608,21.0,64275.6,5880.8,53409.4
1628099609,21.5,64275.6,5880.8,53411.3
1628099610,23.9,64275.6,5880.8,53411.2
1628099611,22.3,64275.6,5880.8,53412.7
1628099612,20.6,64275.6,5880.8,53413.5
1628099613,20.9,64275.6,5881.0,53416.4
1628099614,20.2,64275.6,5881.1,53421.7
1628099615,20.1,64275.6,5881.1,53420.4
1628099616,19.7,64275.6,5881.1,53422.5
1628099617,19.7,64275.6,5881.1,53424.5
1628099618,23.7,64275.6,5881.1,53426.8
1628099619,20.1,64275.6,5881.1,53429.6
1628099620,19.5,64275.6,5881.1,53430.7
1628099621,21.6,64275.6,5881.1,53434.0
1628099622,19.0,64275.6,5881.1,53436.7
1628099623,21.0,64275.6,5881.1,53438.5
1628099624,20.6,64275.6,5881.2,53442.9
1628099625,19.9,64275.6,5881.2,53444.9
1628099626,19.6,64275.6,5881.2,53449.2
1628099627,19.7,64275.6,5881.2,53451.8
1628099628,22.4,64275.6,5881.3,53465.5
1628099629,20.9,64275.6,5881.4,53466.7
1628099630,18.8,64275.6,5881.5,53492.6
1628099631,19.3,64275.6,5881.5,53497.0
1628099632,19.6,64275.6,5881.7,53498.7
1628099633,20.9,64275.6,5881.7,53499.9
1628099634,20.1,64275.6,5881.7,53501.5
1628099635,20.4,64275.6,5881.8,53521.2
1628099636,20.4,64275.6,5881.9,53503.3
1628099637,19.0,64275.6,5882.0,53478.0
1628099638,21.2,64275.6,5882.1,53477.4
1628099639,19.9,64275.6,5882.1,53477.5
1628099640,19.1,64275.6,5882.2,53477.5
1628099641,23.1,64275.6,5882.2,53499.4
1628099642,20.2,64275.6,5882.2,53499.4
1628099643,21.6,64275.6,5882.3,53499.3
1628099644,21.7,64275.6,5882.3,53499.3
1628099645,22.2,64275.6,5882.3,53499.3
1628099646,20.7,64275.6,5882.3,53499.4
1628099647,21.0,64275.6,5882.3,53499.4
1628099648,20.9,64275.6,5882.3,53499.4
1628099649,21.5,64275.6,5882.3,53499.4
1628099650,20.9,64275.6,5882.3,53499.4
1628099651,23.6,64275.6,5882.3,53499.5
1628099652,20.7,64275.6,5882.3,53499.5
1628099653,23.2,64275.6,5882.3,53499.6
1628099654,21.6,64275.6,5882.3,53500.4
1628099655,22.2,64275.6,5882.3,53500.8
1628099656,19.3,64275.6,5882.3,53525.5
1628099657,18.9,64275.6,5882.3,53526.0
1628099658,21.5,64275.6,5882.3,53500.9
1628099659,20.2,64275.6,5882.3,53501.6
1628099660,19.0,64275.6,5882.3,53501.9
1628099661,20.3,64275.6,5882.3,53503.9
1628099662,19.3,64275.6,5882.3,53528.5
1628099663,21.0,64275.6,5882.3,53529.2
1628099664,22.1,64275.6,5882.4,53527.5
1628099665,19.5,64275.6,5882.4,53496.4
1628099666,19.0,64275.6,5882.4,53496.4
1628099667,19.5,64275.6,5882.4,53496.4
1628099668,21.1,64275.6,5882.6,53496.3
1628099669,19.9,64275.6,5882.6,53496.8
1628099670,21.6,64275.6,5882.6,53496.6
1628099671,24.1,64275.6,5882.6,53497.2
1628099672,19.9,64275.6,5882.6,53498.0
1628099673,20.1,64275.6,5882.6,53498.5
1628099674,20.3,64275.6,5882.6,53499.1
1628099675,19.6,64275.6,5882.6,53499.4
1628099676,18.9,64275.6,5882.6,53499.9
1628099677,19.5,64275.6,5882.6,53500.4
1628099678,23.7,64275.6,5882.6,53515.3
1628099679,21.0,64275.6,5882.6,53511.7
1628099680,21.1,64275.6,5882.6,53500.8
1628099681,20.9,64275.6,5882.6,53500.1
1628099682,18.7,64275.6,5882.7,53500.8
1628099683,20.9,64275.6,5882.7,53500.8
1628099684,20.1,64275.6,5882.7,53500.9
1628099685,20.2,64275.6,5882.7,53501.3
1628099686,18.6,64275.6,5882.7,53502.0
1628099687,19.5,64275.6,5882.7,53502.3
1628099688,21.3,64275.6,5882.7,53503.1
1628099689,20.7,64275.6,5882.7,53503.6
1628099690,18.9,64275.6,5882.7,53519.9
1628099691,20.2,64275.6,5882.7,53534.9
1628099692,19.3,64275.6,5882.7,53535.8
1628099693,20.9,64275.6,5882.7,53502.6
1628099694,20.1,64275.6,5882.7,53503.1
1628099695,20.4,64275.6,5882.7,53503.1
1628099696,19.1,64275.6,5882.7,53503.3
1628099697,19.4,64275.6,5882.7,53503.3
1628099698,21.6,64275.6,5882.7,53513.2
1628099699,20.3,64275.6,5882.7,53516.0
1628099700,20.5,64275.6,5882.7,53516.3
1628099701,23.0,64275.6,5882.7,53516.3
1628099702,20.6,64275.6,5882.7,53516.3
1628099703,21.3,64275.6,5882.7,53516.3
1628099704,21.0,64275.6,5882.7,53516.3
1628099705,21.6,64275.6,5882.7,53516.3
1628099706,20.1,64275.6,5882.7,53516.4
1628099707,21.0,64275.6,5882.7,53516.7
1628099708,20.1,64275.6,5882.7,53517.1
1628099709,19.7,64275.6,5882.7,53522.4
1628099710,19.2,64275.6,5882.7,53518.0
1628099711,21.2,64275.6,5882.7,53518.0
1628099712,19.6,64275.6,5882.7,53520.7
1628099713,21.8,64275.6,5882.7,53522.3
1628099714,20.4,64275.6,5882.7,53526.3
1628099715,21.3,64275.6,5882.7,53521.8
1628099716,18.9,64275.6,5882.8,53521.7
1628099717,20.4,64275.6,5882.8,53521.7
1628099718,21.7,64275.6,5882.8,53521.7
1628099719,19.9,64275.6,5882.8,53521.8
1628099720,19.7,64275.6,5882.9,53517.4
1628099721,20.9,64275.6,5882.9,53529.5
1628099722,20.5,64275.6,5882.9,53530.4
1628099723,22.9,64275.6,5882.9,53557.0
1628099724,24.9,64275.6,5882.9,53561.0
1628099725,27.8,64275.6,5883.0,53563.9
1628099726,27.6,64275.6,5883.0,53565.8
1628099727,27.3,64275.6,5883.0,53542.3
1628099728,29.0,64275.6,5883.0,53545.1
1628099729,22.8,64275.6,5882.9,53439.9
1628099730,21.3,64275.6,5882.9,53442.6
1628099731,27.8,64275.6,5882.9,53442.4
1628099732,20.1,64275.6,5882.9,53430.6
1628099733,20.0,64275.6,5882.9,53433.4
1628099734,20.2,64275.6,5882.9,53438.6
1628099735,21.2,64275.6,5882.9,53446.6
1628099736,19.6,64275.6,5882.9,53437.0
1628099737,19.1,64275.6,5882.9,53436.8
1628099738,20.6,64275.6,5883.0,53437.0
1628099739,23.2,64275.6,5883.0,53437.3
1628099740,19.6,64275.6,5883.0,53436.9
1628099741,21.8,64275.6,5883.0,53437.0
1628099742,19.6,64275.6,5883.0,53456.6
1628099743,21.6,64275.6,5883.0,53437.7
1628099744,19.5,64275.6,5883.0,53437.5
1628099745,21.2,64275.6,5883.0,53437.8
1628099746,19.0,64275.6,5883.0,53437.1
1628099747,19.7,64275.6,5883.0,53437.1
1628099748,21.7,64275.6,5883.0,53437.3
1628099749,20.0,64275.6,5883.0,53437.8
1628099750,18.7,64275.6,5883.0,53437.4
1628099751,19.3,64275.6,5883.0,53442.4
1628099752,19.2,64275.6,5883.0,53455.3
1628099753,20.7,64275.6,5883.0,53438.9
1628099754,20.0,64275.6,5883.0,53439.7
