timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive
1628093970,7.4,64275.6,5815.9,51756.0
1628093971,6.4,64275.6,5815.9,51755.7
1628093972,9.6,64275.6,5815.9,51756.1
1628093973,7.3,64275.6,5815.9,51764.4
1628093974,7.2,64275.6,5815.9,51756.1
1628093975,8.2,64275.6,5815.9,51756.3
1628093976,7.6,64275.6,5815.9,51756.3
1628093977,6.7,64275.6,5815.9,51756.3
1628093978,7.9,64275.6,5815.9,51756.4
1628093979,7.2,64275.6,5815.9,51756.3
1628093980,6.6,64275.6,5815.9,51756.4
1628093981,8.7,64275.6,5815.9,51756.4
1628093982,6.5,64275.6,5815.9,51756.4
1628093983,8.8,64275.6,5815.9,51756.1
1628093984,9.5,64275.6,5815.9,51814.9
1628093985,8.2,64275.6,5816.1,51795.2
1628093986,7.9,64275.6,5816.1,51772.8
1628093987,6.5,64275.6,5816.1,51773.6
1628093988,8.9,64275.6,5816.1,51773.9
1628093989,8.2,64275.6,5816.1,51774.0
1628093990,6.2,64275.6,5816.1,51773.6
1628093991,6.6,64275.6,5816.1,51773.6
1628093992,6.4,64275.6,5816.1,51773.6
1628093993,9.5,64275.6,5816.1,51781.3
1628093994,10.2,64275.6,5816.2,51794.2
1628093995,16.4,64275.6,5817.3,51788.8
1628093996,15.1,64275.6,5817.3,51809.3
1628093997,12.5,64275.6,5817.7,51839.7
1628093998,15.6,64275.6,5818.7,51863.6
1628093999,12.9,64275.6,5818.7,51863.6
1628094000,12.2,64275.6,5818.7,51865.4
1628094001,16.8,64275.6,5818.8,51874.5
1628094002,13.7,64275.6,5818.7,51869.3
1628094003,13.8,64275.6,5818.7,51868.8
1628094004,12.9,64275.6,5818.7,51869.7
1628094005,12.7,64275.6,5818.7,51869.7
1628094006,12.8,64275.6,5818.8,51870.7
1628094007,13.0,64275.6,5819.0,51871.4
1628094008,13.1,64275.6,5819.0,51871.7
1628094009,13.0,64275.6,5819.0,51872.4
1628094010,13.7,64275.6,5819.0,51872.9
1628094011,14.7,64275.6,5819.0,51873.6
1628094012,12.7,64275.6,5819.0,51874.2
1628094013,15.4,64275.6,5819.0,51875.1
1628094014,13.6,64275.6,5819.0,51900.5
1628094015,13.0,64275.6,5819.0,51901.6
1628094016,13.7,64275.6,5819.0,51904.1
1628094017,13.1,64275.6,5819.0,51879.5
1628094018,15.8,64275.6,5819.0,51881.5
1628094019,12.8,64275.6,5819.0,51882.7
1628094020,12.7,64275.6,5819.0,51884.6
